,Texas,Rate,New
1/22/20,0.0,0.0,0.0
1/23/20,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0
1/25/20,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0
2/5/20,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0
2/7/20,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0
2/9/20,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0
2/12/20,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0
2/16/20,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0
2/18/20,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0
2/20/20,0.0,0.0,0.0
2/21/20,0.0,0.0,0.0
2/22/20,0.0,0.0,0.0
2/23/20,0.0,0.0,0.0
2/24/20,0.0,0.0,0.0
2/25/20,0.0,0.0,0.0
2/26/20,0.0,0.0,0.0
2/27/20,0.0,0.0,0.0
2/28/20,0.0,0.0,0.0
2/29/20,0.0,0.0,0.0
3/1/20,0.0,0.0,0.0
3/2/20,0.0,0.0,0.0
3/3/20,0.0,0.0,0.0
3/4/20,0.0,0.0,0.0
3/5/20,0.0,0.0,0.0
3/6/20,0.0,0.0,0.0
3/7/20,0.0,0.0,0.0
3/8/20,0.0,0.0,0.0
3/9/20,0.0,0.0,0.0
3/10/20,0.0,0.0,0.0
3/11/20,0.0,0.0,0.0
3/12/20,0.0,0.0,0.0
3/13/20,0.0,0.0,0.0
3/14/20,0.0,0.0,0.0
3/15/20,0.0,0.0,0.0
3/16/20,0.0,0.0,0.0
3/17/20,1.0,0.0,1.0
3/18/20,3.0,3.0,2.0
3/19/20,5.0,1.6666666666666667,2.0
3/20/20,4.0,0.8,-1.0
3/21/20,5.0,1.25,1.0
3/22/20,7.0,1.4,2.0
3/23/20,9.0,1.2857142857142858,2.0
3/24/20,12.0,1.3333333333333333,3.0
3/25/20,15.0,1.25,3.0
3/26/20,21.0,1.4,6.0
3/27/20,26.0,1.2380952380952381,5.0
3/28/20,30.0,1.1538461538461537,4.0
3/29/20,37.0,1.2333333333333334,7.0
3/30/20,45.0,1.2162162162162162,8.0
3/31/20,54.0,1.2,9.0
4/1/20,66.0,1.2222222222222223,12.0
4/2/20,77.0,1.1666666666666667,11.0
4/3/20,100.0,1.2987012987012987,23.0
4/4/20,116.0,1.16,16.0
4/5/20,136.0,1.1724137931034482,20.0
4/6/20,150.0,1.1029411764705883,14.0
4/7/20,160.0,1.0666666666666667,10.0
4/8/20,189.0,1.18125,29.0
4/9/20,210.0,1.1111111111111112,21.0
4/10/20,238.0,1.1333333333333333,28.0
4/11/20,266.0,1.1176470588235294,28.0
4/12/20,283.0,1.0639097744360901,17.0
4/13/20,305.0,1.0777385159010602,22.0
4/14/20,342.0,1.1213114754098361,37.0
4/15/20,375.0,1.0964912280701755,33.0
4/16/20,414.0,1.104,39.0
4/17/20,451.0,1.0893719806763285,37.0
4/18/20,476.0,1.0554323725055432,25.0
4/19/20,490.0,1.0294117647058822,14.0
4/20/20,507.0,1.0346938775510204,17.0
4/21/20,533.0,1.0512820512820513,26.0
4/22/20,556.0,1.0431519699812384,23.0
4/23/20,604.0,1.0863309352517985,48.0
4/24/20,624.0,1.033112582781457,20.0
4/25/20,638.0,1.0224358974358974,14.0
4/26/20,651.0,1.0203761755485894,13.0
4/27/20,666.0,1.023041474654378,15.0
4/28/20,719.0,1.0795795795795795,53.0
4/29/20,754.0,1.0486787204450625,35.0
4/30/20,812.0,1.0769230769230769,58.0
5/1/20,840.0,1.0344827586206897,28.0
5/2/20,863.0,1.0273809523809523,23.0
5/3/20,878.0,1.0173812282734647,15.0
5/4/20,901.0,1.0261958997722096,23.0
5/5/20,925.0,1.0266370699223086,24.0
5/6/20,954.0,1.0313513513513513,29.0
5/7/20,985.0,1.0324947589098532,31.0
5/8/20,1025.0,1.0406091370558375,40.0
5/9/20,1066.0,1.04,41.0
5/10/20,1094.0,1.026266416510319,28.0
5/11/20,1117.0,1.0210237659963437,23.0
5/12/20,1146.0,1.0259623992837958,29.0
5/13/20,1172.0,1.0226876090750436,26.0
5/14/20,1235.0,1.0537542662116042,63.0
5/15/20,1280.0,1.0364372469635628,45.0
5/16/20,1318.0,1.0296875,38.0
5/17/20,1343.0,1.0189681335356602,25.0
5/18/20,1350.0,1.0052122114668651,7.0
5/19/20,1388.0,1.0281481481481483,38.0
5/20/20,1426.0,1.0273775216138328,38.0
5/21/20,1460.0,1.023842917251052,34.0
5/22/20,1470.0,1.0068493150684932,10.0
5/23/20,1478.0,1.0054421768707482,8.0
5/24/20,1528.0,1.03382949932341,50.0
5/25/20,1533.0,1.0032722513089005,5.0
5/26/20,1546.0,1.0084801043705154,13.0
5/27/20,1581.0,1.0226390685640363,35.0
5/28/20,1611.0,1.0189753320683113,30.0
5/29/20,1619.0,1.004965859714463,8.0
5/30/20,1652.0,1.0203829524397776,33.0
5/31/20,1675.0,1.0139225181598064,23.0
6/1/20,1683.0,1.0047761194029852,8.0
6/2/20,1716.0,1.0196078431372548,33.0
6/3/20,1744.0,1.0163170163170163,28.0
6/4/20,1776.0,1.018348623853211,32.0
